,SSR,属性,篇章,获取方式,上线时间
1,最佳拍档,逻辑,旖慕篇,常驻女神之影,2020.07.30
2,微醺视线,共情,旖慕篇
3,千灯如昼,直觉,旖慕篇,「璀璨深夏」活动女神之影,2020.08.19
4,虹色心跳,共情,旖慕篇,「探迷寻心」活动女神之影,2020.09.30
5,温馥予怀,逻辑,旖慕篇,「四季如夏」活动女神之影,2020.11.27
6,荧荧眸光,直觉,旖慕篇,「致斯卡提的情诗」活动女神之影,2021.01.29
7,此心安处,共情,旖慕篇,「异乡行歌·上篇」活动女神之影,2021.03.25
8,腾霄,直觉,旖慕篇,「燃动潮流夜」活动女神之影,2021.05.21
9,夜落星河,逻辑,甜蜜篇,「绯色之吻」活动女神之影,2021.07.15
10,妄夜之魇,逻辑,甜蜜篇,「妄夜之魇」活动女神之影,2021.09.07
11,昼夜余想,逻辑,异世篇,「狂沙的呼唤」活动女神之影,2021.09.29
12,暗漪,共情,甜蜜篇,「灼年情记」活动女神之影,2021.11.27
13,瑰色余温,直觉,甜蜜篇,「雪色弥境」活动女神之影,2021.12.21
14,戏影入梦,共情,异世篇,「飞雪落红尘」活动女神之影,2022.01.20
15,执愿,直觉,甜蜜篇,「童梦畅游」活动女神之影,2022.03.01
16,繁荫浮岁,共情,甜蜜篇,「煦风恋旅·下篇」活动女神之影,2022.05.11
17,犬梦留晞,直觉,甜蜜篇,「甜宠萌心·上篇」活动女神之影,2022.06.23
18,蜜橙淆心,逻辑,约定篇,「约定之日」活动女神之影,2022.07.21
19,岁夜流踪,共情,约定篇,「岁夜流踪」活动女神之影,2022.08.11
20,恋恋雾城,直觉,异世篇,「情迷贝克伦」活动女神之影,2022.09.29
21,抵此情深,逻辑,约定篇,「情迷贝克伦」限时累充
22,旧忆灼心,直觉,约定篇,「恋满韶荫」活动女神之影,2022.11.27
23,空烬,逻辑,异世篇,「故城黎明的回响」活动女神之影,2023.01.12
24,赴心同炽,共情,约定篇,「逆火逐夏」活动女神之影,2023.01.30
25,逸日偕心,逻辑,约定篇,「逸日偕心」活动女神之影,2023.05.25
26,芜音藏迹,直觉,挚爱篇,「迢迢铃音」活动女神之影,2023.08.23
27,落愿余梦,共情,异世篇,「最后的龙息」活动女神之影,2023.09.28
28,逾漪留夏,逻辑,挚爱篇,「蟹邀觅趣」活动女神之影,2023.10.17
29,殊途之外,直觉,挚爱篇,「雪照夏时」活动女神之影,2023.11.26
30,一醉三千春,逻辑,异世篇,「红尘共长生」活动女神之影,2024.02.01
31,猎妄,共情,挚爱篇,「红尘共长生」限时累充
32,心动所向,直觉,异世篇,「少年如你」活动女神之影,2024.04.28
33,此夜曲中,共情,挚爱篇,「鼓悦鸣音」活动女神之影,2024.05.16
34,谜抵少时,逻辑,挚爱篇,「爱如初见」限时累充,2024.07.12
35,终应心期,共情,挚爱篇,「爱如初见」活动女神之影,2024.07.18
36,舞跃今宵,直觉,挚爱篇,「喜乐闲饮」活动女神之影,2024.08.22
37,真心予谁,逻辑,未定篇,「NXX-海岛疑云」活动女神之影,2024.09.29
38,情惘,共情,旖慕篇,「旧梦新生」活动女神之影,2024.10.17
39,以期将时,直觉,挚爱篇,「岁岁长夏」活动女神之影,2024.11.27
40,归路沿风,逻辑,挚爱篇,「今愿良宵」活动女神之影,2024.12.19
41,绎尘,共情,异世篇,「万灵局·妖闻簿」活动女神之影,2025.01.21
42,弥念成思,直觉,异世篇,「少年如你之心动魔咒」活动女神之影,2025.04.30
43,落落光阴,逻辑,挚爱篇,「少年如你之心动魔咒」限时累充
44,致夏阳,共情,挚爱篇,「恋时旅纪」活动女神之影,2025.06.05
