,SR,属性,篇章,获取方式,上线时间
1,惊心一刻,共情,旖慕篇,常驻女神之影；首充自选,2020.07.30
2,斑斓光影,直觉,旖慕篇,常驻女神之影
3,倾落心扉,共情,旖慕篇
4,完美营救,逻辑,旖慕篇
5,碧蓝之间,直觉,旖慕篇
6,彼时少年,逻辑,未定篇,常驻女神之影；异常1-8、1-16、3-11、5-4、17-8
7,与子偕行,逻辑,未定篇,常驻女神之影；异常5-8、5-12、5-24、7-4
8,忆中人,直觉,旖慕篇,「午夜华章」活动女神之影,2020.11.12
9,掌中流光,共情,旖慕篇,「缤纷乐游会」限时任务获取,2020.11.16
10,纸间情眷,共情,甜蜜篇,「青葱巡礼」活动女神之影,2021.11.02
11,刻心,直觉,未定篇,常驻女神之影；异常9-4、9-8、9-12、14-8,2022.07.05
12,蜜秘,逻辑,约定篇,「冬恋晴歌」活动翻牌获取,2022.12.22
13,柠风星夏,直觉,约定篇,「澄夏海语」活动翻牌获取,2023.04.28
14,灼光 [13],共情,未定篇,常驻女神之影；异常13-4、13-8、13-12、15-12,2023.06.30
15,绵雨晴心 [10],逻辑,挚爱篇,「索牌逐悦」活动翻牌获取,2024.01.10
