,R,属性,篇章,获取方式,上线时间
1,搭档,共情,旖慕篇,常驻女神之影,2020.07.30
2,等你,共情,旖慕篇
3,贴心服务,共情,旖慕篇
4,打招呼,直觉,旖慕篇
5,热身,直觉,旖慕篇
6,倦意,直觉,旖慕篇
7,秘密,逻辑,旖慕篇
8,美味一刻,逻辑,旖慕篇
9,准备就绪,逻辑,旖慕篇,活动「消失的黄金」,2020.09.30
10,静候,直觉,旖慕篇,活动「四季如夏」,2020.11.27
11,温馨小屋,共情,旖慕篇,活动「致斯卡提的情诗」,2021.01.29
12,相伴,逻辑,旖慕篇,活动「温暖闹元宵」,2021.02.20
13,注视,直觉,旖慕篇,活动「异乡行歌·上篇」,2021.03.25
14,羞赧,共情,甜蜜篇,活动「未名盛典」,2021.07.15
15,重逢,直觉,甜蜜篇,活动「佳期鹊桥会」,2021.08.05
16,少年意气,直觉,异世篇,活动「狂沙的呼唤」,2021.09.29
17,角逐,逻辑,甜蜜篇,活动「灼年情记」,2021.11.27
18,侠客行,逻辑,异世篇,活动「飞雪落红尘」,2022.01.20
19,循风,共情,甜蜜篇,活动「煦风恋旅·下篇」,2022.05.11
20,蜜意,逻辑,约定篇,活动「共赴月朝」,2022.07.21
21,潜思,共情,异世篇,活动「情迷贝克伦」,2022.09.29
22,念想,逻辑,约定篇,活动「恋满韶荫」,2022.11.27
23,无畏,共情,异世篇,活动「故城黎明的回响」,2023.01.12
24,稚心所获,直觉,约定篇,活动「HoHo好运」,2023.03.09
25,驰然 [17],逻辑,挚爱篇,活动「归心之所」,2023.07.20
26,花誓 [15],共情,异世篇,活动「最后的龙息」,2023.09.28
27,相邀 [12],逻辑,挚爱篇,活动「雪照夏时」,2023.11.26
28,千秋岁 [9],直觉,异世篇,活动「红尘共长生」,2024.02.01
29,心动秩序,共情,异世篇,活动「少年如你」,2024.04.28
30,一较高下,直觉,挚爱篇,活动「爱如初见」,2024.07.18
31,潜行,直觉,未定篇,活动「NXX-海岛疑云」,2024.09.28
32,坚守,共情,挚爱篇,活动「岁岁长夏」,2024.11.27
33,定愿,逻辑,异世篇,活动「万灵局·妖闻簿」,2025.01.21
34,妙信传音,直觉,异世篇,活动「少年如你之心动魔咒」,2025.04.30
